year,state-name,sector-name,fuel-name,value
1970,Alabama,Industrial carbon dioxide emissions,Coal,26.721507
1970,Alabama,Industrial carbon dioxide emissions,Petroleum,3.577779
1970,Alabama,Industrial carbon dioxide emissions,Natural Gas,8.944097
1970,Alabama,Residential carbon dioxide emissions,Coal,0.163635
1970,Alabama,Residential carbon dioxide emissions,Petroleum,1.123947
1970,Alabama,Residential carbon dioxide emissions,Natural Gas,3.049074
1970,Alabama,Commercial carbon dioxide emissions,Coal,0.128584
1970,Alabama,Commercial carbon dioxide emissions,Petroleum,0.824345
1970,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.981782
1970,Alabama,Transportation carbon dioxide emissions,Coal,0.039948
1970,Alabama,Transportation carbon dioxide emissions,Petroleum,17.661483
1970,Alabama,Transportation carbon dioxide emissions,Natural Gas,1.086115
1970,Alabama,Electric Power carbon dioxide emissions,Coal,36.21326
1970,Alabama,Electric Power carbon dioxide emissions,Petroleum,0.287059
1970,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.844237
1970,Alaska,Residential carbon dioxide emissions,Coal,0.022375
1970,Alaska,Residential carbon dioxide emissions,Natural Gas,0.330951
1970,Alaska,Commercial carbon dioxide emissions,Coal,0.017573
1970,Alaska,Commercial carbon dioxide emissions,Petroleum,0.664148
1970,Alaska,Commercial carbon dioxide emissions,Natural Gas,0.667098
1970,Alaska,Transportation carbon dioxide emissions,Coal,0.001332
1970,Alaska,Transportation carbon dioxide emissions,Petroleum,4.19922
1970,Alaska,Transportation carbon dioxide emissions,Natural Gas,0.922177
1970,Alaska,Electric Power carbon dioxide emissions,Coal,0.404612
1970,Alaska,Electric Power carbon dioxide emissions,Petroleum,0.172132
1970,Alaska,Electric Power carbon dioxide emissions,Natural Gas,0.436832
1970,Alaska,Industrial carbon dioxide emissions,Coal,0.80214
1970,Alaska,Industrial carbon dioxide emissions,Petroleum,1.108431
1970,Alaska,Industrial carbon dioxide emissions,Natural Gas,0.99291
1970,Alaska,Residential carbon dioxide emissions,Petroleum,0.606979
1970,Arizona,Industrial carbon dioxide emissions,Natural Gas,3.100531
1970,Arizona,Industrial carbon dioxide emissions,Petroleum,0.892881
1970,Arizona,Industrial carbon dioxide emissions,Coal,0.010315
1970,Arizona,Electric Power carbon dioxide emissions,Natural Gas,3.307016
1970,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.009604
1970,Arizona,Electric Power carbon dioxide emissions,Coal,0.809795
1970,Arizona,Transportation carbon dioxide emissions,Natural Gas,1.344852
1970,Arizona,Transportation carbon dioxide emissions,Petroleum,12.011957
1970,Arizona,Commercial carbon dioxide emissions,Natural Gas,1.274866
1970,Arizona,Commercial carbon dioxide emissions,Petroleum,0.226766
1970,Arizona,Residential carbon dioxide emissions,Natural Gas,1.666419
1970,Arizona,Residential carbon dioxide emissions,Petroleum,0.251186
1970,Arkansas,Residential carbon dioxide emissions,Petroleum,1.606385
1970,Arkansas,Residential carbon dioxide emissions,Natural Gas,3.182844
1970,Arkansas,Industrial carbon dioxide emissions,Natural Gas,8.249988
1970,Arkansas,Industrial carbon dioxide emissions,Petroleum,2.934181
1970,Arkansas,Electric Power carbon dioxide emissions,Natural Gas,5.719533
1970,Arkansas,Electric Power carbon dioxide emissions,Petroleum,0.332612
1970,Arkansas,Transportation carbon dioxide emissions,Natural Gas,0.714869
1970,Arkansas,Transportation carbon dioxide emissions,Petroleum,10.865536
1970,Arkansas,Commercial carbon dioxide emissions,Natural Gas,2.085065
1970,Arkansas,Commercial carbon dioxide emissions,Petroleum,0.487878
1970,California,Industrial carbon dioxide emissions,Coal,5.398804
1970,California,Industrial carbon dioxide emissions,Petroleum,24.776525
1970,California,Industrial carbon dioxide emissions,Natural Gas,37.971445
1970,California,Residential carbon dioxide emissions,Coal,0.128968
1970,California,Residential carbon dioxide emissions,Petroleum,1.375131
1970,California,Residential carbon dioxide emissions,Natural Gas,30.877841
1970,California,Commercial carbon dioxide emissions,Coal,0.101312
1970,California,Commercial carbon dioxide emissions,Petroleum,5.501119
1970,California,Commercial carbon dioxide emissions,Natural Gas,11.732372
1970,California,Transportation carbon dioxide emissions,Coal,0.00818
1970,California,Transportation carbon dioxide emissions,Petroleum,129.757941
1970,California,Transportation carbon dioxide emissions,Natural Gas,0.947467
1970,California,Electric Power carbon dioxide emissions,Petroleum,10.238345
1970,California,Electric Power carbon dioxide emissions,Natural Gas,35.55675
1970,Colorado,Residential carbon dioxide emissions,Coal,0.272341
1970,Colorado,Residential carbon dioxide emissions,Petroleum,0.861224
1970,Colorado,Industrial carbon dioxide emissions,Natural Gas,4.324524
1970,Colorado,Industrial carbon dioxide emissions,Petroleum,2.70534
1970,Colorado,Industrial carbon dioxide emissions,Coal,3.818579
1970,Colorado,Electric Power carbon dioxide emissions,Natural Gas,2.643736
1970,Colorado,Electric Power carbon dioxide emissions,Petroleum,0.123685
1970,Colorado,Electric Power carbon dioxide emissions,Coal,6.576516
1970,Colorado,Transportation carbon dioxide emissions,Natural Gas,0.096231
1970,Colorado,Transportation carbon dioxide emissions,Petroleum,13.740483
1970,Colorado,Transportation carbon dioxide emissions,Coal,0.005517
1970,Colorado,Commercial carbon dioxide emissions,Natural Gas,3.051036
1970,Colorado,Commercial carbon dioxide emissions,Petroleum,0.31904
1970,Colorado,Commercial carbon dioxide emissions,Coal,0.213955
1970,Colorado,Residential carbon dioxide emissions,Natural Gas,4.265353
1970,Connecticut,Residential carbon dioxide emissions,Coal,0.053393
1970,Connecticut,Industrial carbon dioxide emissions,Natural Gas,0.756505
1970,Connecticut,Industrial carbon dioxide emissions,Petroleum,7.777142
1970,Connecticut,Industrial carbon dioxide emissions,Coal,0.323752
1970,Connecticut,Electric Power carbon dioxide emissions,Natural Gas,0.0079
1970,Connecticut,Electric Power carbon dioxide emissions,Petroleum,10.13176
1970,Connecticut,Electric Power carbon dioxide emissions,Coal,4.199919
1970,Connecticut,Transportation carbon dioxide emissions,Natural Gas,0.002704
1970,Connecticut,Transportation carbon dioxide emissions,Petroleum,12.988625
1970,Connecticut,Transportation carbon dioxide emissions,Coal,0.000476
1970,Connecticut,Commercial carbon dioxide emissions,Natural Gas,0.781091
1970,Connecticut,Commercial carbon dioxide emissions,Petroleum,2.583788
1970,Connecticut,Commercial carbon dioxide emissions,Coal,0.041965
1970,Connecticut,Residential carbon dioxide emissions,Natural Gas,1.679992
1970,Connecticut,Residential carbon dioxide emissions,Petroleum,6.502983
1970,Delaware,Industrial carbon dioxide emissions,Natural Gas,0.621982
1970,Delaware,Industrial carbon dioxide emissions,Petroleum,3.583442
1970,Delaware,Industrial carbon dioxide emissions,Coal,0.079022
1970,Delaware,Electric Power carbon dioxide emissions,Natural Gas,0.202483
1970,Delaware,Electric Power carbon dioxide emissions,Petroleum,1.620803
1970,Delaware,Electric Power carbon dioxide emissions,Coal,3.444529
1970,Delaware,Transportation carbon dioxide emissions,Petroleum,3.590717
1970,Delaware,Transportation carbon dioxide emissions,Coal,9.5e-05
1970,Delaware,Commercial carbon dioxide emissions,Natural Gas,0.151637
1970,Delaware,Commercial carbon dioxide emissions,Petroleum,1.221091
1970,Delaware,Commercial carbon dioxide emissions,Coal,0.007874
1970,Delaware,Residential carbon dioxide emissions,Natural Gas,0.42416
1970,Delaware,Residential carbon dioxide emissions,Coal,0.009987
1970,Delaware,Residential carbon dioxide emissions,Petroleum,1.114483
1970,District of Columbia,Residential carbon dioxide emissions,Natural Gas,0.748218
1970,District of Columbia,Residential carbon dioxide emissions,Coal,0.051664
1970,District of Columbia,Industrial carbon dioxide emissions,Natural Gas,0.022759
1970,District of Columbia,Industrial carbon dioxide emissions,Petroleum,1.722061
1970,District of Columbia,Industrial carbon dioxide emissions,Coal,0.947975
1970,District of Columbia,Electric Power carbon dioxide emissions,Petroleum,1.78932
1970,District of Columbia,Electric Power carbon dioxide emissions,Coal,1.658111
1970,District of Columbia,Transportation carbon dioxide emissions,Natural Gas,0.00106
1970,District of Columbia,Transportation carbon dioxide emissions,Petroleum,2.333555
